Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1530639574.8222222,579.77,90,0.6333333333333333,3815998940.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,1530639574.8222222,5.0,1.0,True,2020-04-30
PROSUS (SOUTH AFRICA),500376512.52222216,629.41,90,0.6333333333333333,1247476070.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,500376512.52222216,2.6177640746080635,2.0,True,2020-04-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),396997048.7644444,21.0,90,0.6666666666666666,893243359.7199999,,,20.0,2020-04-30,NIGERIA,MID,396997048.7644444,5.0,3.0,True,2020-04-30
FIRSTRAND (SOUTH AFRICA),323038919.31851846,39.65,90,0.6333333333333333,805360186.6666666,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,323038919.31851846,1.690006737985478,4.0,True,2020-04-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),314804361.88879246,708.03,90,0.6333333333333333,784830819.1133331,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,314804361.88879246,1.6469269209469508,5.0,True,2020-04-30
ANGLO AMERICAN (SOUTH AFRICA),308929569.91481483,318.76,90,0.6333333333333333,770184523.3333334,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,308929569.91481483,1.6161924260407947,6.0,True,2020-04-30
STANDARD BANK GROUP (SOUTH AFRICA),303172841.96666664,102.13,90,0.6333333333333333,755832570.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,303172841.96666664,1.5860755935500106,7.0,True,2020-04-30
MTN GROUP (SOUTH AFRICA),287365615.97037035,48.61,90,0.6333333333333333,716423973.3333334,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,287365615.97037035,1.5033786897250585,8.0,True,2020-04-30
ZENITH BANK NIGERIA (NIGERIA),281606200.10888886,14.3,90,0.6666666666666666,633613950.245,,,20.0,2020-04-30,NIGERIA,MID,281606200.10888886,5.0,9.0,True,2020-04-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),267140086.22752407,464.7,90,0.6333333333333333,666000214.9716667,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,267140086.22752407,1.3975670382471357,10.0,True,2020-04-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),266946775.41851848,112.2,90,0.6333333333333333,665518276.6666666,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,266946775.41851848,1.3965557156163082,11.0,True,2020-04-30
SIBANYE STILLWATER (SOUTH AFRICA),244390757.37407404,37.76,90,0.6333333333333333,609284436.6666666,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,244390757.37407404,1.2785519080328427,12.0,True,2020-04-30
ABSA (SOUTH AFRICA),222098948.54444444,91.3,90,0.6333333333333333,553709290.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,222098948.54444444,1.16193033437406,13.0,True,2020-04-30
SANLAM (SOUTH AFRICA),214361571.36666664,59.28,90,0.6333333333333333,534419430.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,214361571.36666664,1.1214515598896568,14.0,True,2020-04-30
BLUE LABEL TELECOMS (SOUTH AFRICA),191553603.50027776,212.0,90,0.6333333333333333,477557460.25,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,191553603.50027776,1.0021296544818838,15.0,True,2020-04-30
CAPITEC BANK (SOUTH AFRICA),189925299.2648292,895.66,90,0.6333333333333333,473497976.0064994,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,189925299.2648292,0.9936110365543486,16.0,True,2020-04-30
NESTLÉ NIGERIA (NIGERIA),182372051.54814816,920.2,90,0.6666666666666666,410337115.98333335,,,20.0,2020-04-30,NIGERIA,MID,182372051.54814816,5.0,17.0,True,2020-04-30
CLICKS (SOUTH AFRICA),169930292.8880642,230.71,90,0.6333333333333333,423648929.63783324,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,169930292.8880642,0.8890053884978164,18.0,True,2020-04-30
VODACOM (SOUTH AFRICA),160052663.17777777,123.22,90,0.6333333333333333,399023260.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,160052663.17777777,0.8373296931948304,19.0,True,2020-04-30
SHOPRITE HOLDINGS (SOUTH AFRICA),154549156.67407408,107.13,90,0.6333333333333333,385302606.6666667,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,154549156.67407408,0.8085376111341691,20.0,True,2020-04-30
PPC (SOUTH AFRICA),150435566.4406111,125.0,90,0.6333333333333333,375047118.55,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,150435566.4406111,0.787016999232267,21.0,True,2020-04-30
SONATEL SENEGAL (SENEGAL),148515617.4483333,13900.0,90,0.7,303093096.8333333,,,21.0,2020-04-30,SENEGAL,LOW,148515617.4483333,5.0,22.0,True,2020-04-30
BID CORP (SOUTH AFRICA),146059746.90485555,241.65,90,0.6333333333333333,364137873.17,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,146059746.90485555,0.7641245114935259,23.0,True,2020-04-30
DANGOTE CEMENT NIGERIA (NIGERIA),144217404.39999998,130.0,90,0.6666666666666666,324489159.9,,,20.0,2020-04-30,NIGERIA,MID,144217404.39999998,5.0,24.0,True,2020-04-30
SAFARICOM KENYA (KENYA),131792637.03703701,28.5,90,0.6666666666666666,296533433.3333333,,,20.0,2020-04-30,KENYA,MID,131792637.03703701,5.0,25.0,True,2020-04-30
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),126526121.20370369,92.45,90,0.6333333333333333,315439083.3333333,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,126526121.20370369,0.6619326173345347,26.0,True,2020-04-30
GOLD FIELDS (SOUTH AFRICA),124612451.73818679,141.82,90,0.6333333333333333,310668162.2281665,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,124612451.73818679,0.6519210859134189,27.0,True,2020-04-30
BIDVEST (SOUTH AFRICA),117567024.2405926,150.55,90,0.6333333333333333,293103384.53333336,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,117567024.2405926,0.6150623075097488,28.0,True,2020-04-30
OLD MUTUAL (SOUTH AFRICA),111703033.35185185,11.48,90,0.6333333333333333,278484016.6666667,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,111703033.35185185,0.5843843194383306,29.0,True,2020-04-30
MONDI (SOUTH AFRICA),107625612.22582221,328.8,90,0.6333333333333333,268318700.84,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,107625612.22582221,0.5630529294277048,30.0,True,2020-04-30
FOSCHINI (SOUTH AFRICA),103184420.08518517,63.97,90,0.6333333333333333,257246476.66666666,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,103184420.08518517,0.5398184391124244,31.0,True,2020-04-30
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),101983451.29642963,63.95,90,0.6666666666666666,229462765.41696668,,,20.0,2020-04-30,EGYPT,MID,101983451.29642963,5.0,32.0,True,2020-04-30
MR PRICE (SOUTH AFRICA),98801747.89768147,132.0,90,0.6333333333333333,246320147.11333334,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,98801747.89768147,0.5168901011186989,33.0,True,2020-04-30
GRINDROD (SOUTH AFRICA),93228773.04888888,328.0,90,0.6333333333333333,232426304.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,93228773.04888888,0.4877345892535898,34.0,True,2020-04-30
DISCOVERY HOLDINGS (SOUTH AFRICA),92022610.27777778,97.0,90,0.6333333333333333,229419250.0,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,92022610.27777778,0.4814244418119588,35.0,True,2020-04-30
WOOLWORTHS HOLDINGS (SOUTH AFRICA),87474053.06296295,30.49,90,0.6333333333333333,218079356.66666666,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,87474053.06296295,0.45762826159514103,36.0,True,2020-04-30
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),86834913.79006296,115.64,90,0.6333333333333333,216485934.65666667,,,19.0,2020-04-30,SOUTH AFRICA,HIGH,86834913.79006296,0.45428454784080213,37.0,True,2020-04-30
