Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),3422628088.833332,367.0,90,0.7,6984955283.333332,6984955283.333332,1396991056.6666665,21.0,0,9,9393885000.0,50485578499.99997,2022-06-30,SOUTH AFRICA,HIGH,3422628088.833332,5.0,1.0,True,2022-06-30
NASPERS (SOUTH AFRICA),1061591502.2999998,473.54,90,0.7,2166513270.0,2166513270.0,433302654.0,21.0,0,9,2105537400.0,10810683087.499996,2022-06-30,SOUTH AFRICA,HIGH,1061591502.2999998,4.1927874511233805,2.0,True,2022-06-30
PROSUS (SOUTH AFRICA),505358050.53556657,484.1,90,0.7,1031342960.2766666,1031342960.2766666,206268592.05533335,21.0,0,4,955277600.0,8144930353.999989,2022-06-30,SOUTH AFRICA,HIGH,505358050.53556657,1.9959267646915668,3.0,True,2022-06-30
PPC (SOUTH AFRICA),486986359.36999995,287.0,90,0.7,993849713.0,993849713.0,198769942.60000002,21.0,0,9,1282150000.0,12880786499.999994,2022-06-30,SOUTH AFRICA,HIGH,486986359.36999995,1.92336721988736,4.0,True,2022-06-30
ANGLO AMERICAN (SOUTH AFRICA),432974253.96866655,580.49,90,0.7,883620926.4666666,883620926.4666666,176724185.29333332,21.0,0,9,565271700.0,2629470556.4999976,2022-06-30,SOUTH AFRICA,HIGH,432974253.96866655,1.7100447910201144,5.0,True,2022-06-30
MTN NIGERIA (NIGERIA),406158743.40948373,230.0,90,0.7,828895394.7132322,828895394.7132322,165779078.94264644,21.0,0,4,169577821.5,6657652594.896966,2022-06-30,NIGERIA,MID,406158743.40948373,5.0,6.0,True,2022-06-30
GRINDROD (SOUTH AFRICA),395815095.4099999,852.0,90,0.7,807785908.9999999,807785908.9999999,161557181.79999998,21.0,0,9,346402530.0,4004072249.9999986,2022-06-30,SOUTH AFRICA,HIGH,395815095.4099999,1.5632835807414613,7.0,True,2022-06-30
MTN GROUP (SOUTH AFRICA),394185256.2666666,132.04,90,0.7,804459706.6666666,804459706.6666666,160891941.33333334,21.0,0,9,542718250.0,2711313359.9999967,2022-06-30,SOUTH AFRICA,HIGH,394185256.2666666,1.5568464822033588,8.0,True,2022-06-30
FIRSTRAND (SOUTH AFRICA),352482484.9,61.1,90,0.7,719352010.0,719352010.0,143870402.0,21.0,0,9,591488550.0,2444660479.9999995,2022-06-30,SOUTH AFRICA,HIGH,352482484.9,1.3921401369807354,9.0,True,2022-06-30
BLUE LABEL TELECOMS (SOUTH AFRICA),307349144.3166666,622.0,90,0.7,627243151.6666666,627243151.6666666,125448630.33333333,21.0,0,9,752385000.0,10792524749.999994,2022-06-30,SOUTH AFRICA,HIGH,307349144.3166666,1.21388465583277,10.0,True,2022-06-30
CAPITEC BANK (SOUTH AFRICA),302012525.007725,1982.13,90,0.7,616352091.8525001,616352091.8525001,123270418.37050003,21.0,0,9,228906691.75,1600769426.174999,2022-06-30,SOUTH AFRICA,HIGH,302012525.007725,1.1928075179492472,11.0,True,2022-06-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),291038307.6346666,181.14,90,0.7,593955729.8666667,593955729.8666667,118791145.97333334,21.0,0,9,287253400.0,2123016095.9999995,2022-06-30,SOUTH AFRICA,HIGH,291038307.6346666,1.1494645175691853,12.0,True,2022-06-30
