Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,857280682.2485336,2384.52027972028,86,857280682.2485336,857280682.2485336,171456136.44970673,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,857280682.2485336,1.0,True,2022-07-31
INNSCOR AFRICA (ZIMBABWE),OK,725379745.5042226,2799.425874125875,86,725379745.5042226,725379745.5042226,145075949.10084453,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,725379745.5042226,2.0,True,2022-07-31
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),OK,251698947.90963954,478.2944055944056,83,251698947.90963954,251698947.90963954,50339789.58192791,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,251698947.90963954,3.0,True,2022-07-31
NASPERS (SOUTH AFRICA),OK,140808145.62013352,29.1306332409352,84,140808145.62013352,140808145.62013352,28161629.124026705,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,140808145.62013352,4.0,True,2022-07-31
PROSUS (SOUTH AFRICA),OK,69068068.04598396,29.78024993017851,84,69068068.04598396,69068068.04598396,13813613.609196791,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,69068068.04598396,5.0,True,2022-07-31
ANGLO AMERICAN (SOUTH AFRICA),OK,56540808.029461674,35.70984772148176,84,56540808.029461674,56540808.029461674,11308161.605892336,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,56540808.029461674,6.0,True,2022-07-31
MTN GROUP (SOUTH AFRICA),OK,52636311.57774331,8.122669284818778,84,52636311.57774331,52636311.57774331,10527262.315548662,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,52636311.57774331,7.0,True,2022-07-31
FIRSTRAND (SOUTH AFRICA),OK,47816805.792292915,3.758672321284666,84,47816805.792292915,47816805.792292915,9563361.158458583,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,47816805.792292915,8.0,True,2022-07-31
CAPITEC BANK (SOUTH AFRICA),OK,40295617.09205524,121.9341598721436,84,40295617.09205524,40295617.09205524,8059123.418411048,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,40295617.09205524,9.0,True,2022-07-31
GOLD FIELDS (SOUTH AFRICA),OK,38494490.26547703,9.412059986195645,84,38494490.26547703,38494490.26547703,7698898.053095407,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,38494490.26547703,10.0,True,2022-07-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,37413253.22722884,11.14314082287241,84,37413253.22722884,37413253.22722884,7482650.645445769,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,37413253.22722884,11.0,True,2022-07-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,36675605.39575411,9.54555129449659,84,36675605.39575411,36675605.39575411,7335121.079150822,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,36675605.39575411,12.0,True,2022-07-31
ABSA (SOUTH AFRICA),OK,34384853.8825285,9.510486757293116,84,34384853.8825285,34384853.8825285,6876970.7765057,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,34384853.8825285,13.0,True,2022-07-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,33571928.594191596,43.08385837864041,84,33571928.594191596,33571928.594191596,6714385.718838319,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,33571928.594191596,14.0,True,2022-07-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,31674522.97058087,2.501885487833836,84,31674522.97058087,31674522.97058087,6334904.594116174,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,31674522.97058087,15.0,True,2022-07-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,27704658.065762915,15.07344482625829,84,27704658.065762915,27704658.065762915,5540931.613152583,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,27704658.065762915,16.0,True,2022-07-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,27607857.98065316,12.1729309154797,84,27607857.98065316,27607857.98065316,5521571.596130632,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,27607857.98065316,17.0,True,2022-07-31
SANLAM (SOUTH AFRICA),OK,24516911.83789868,3.252389617452051,84,24516911.83789868,24516911.83789868,4903382.367579736,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,24516911.83789868,18.0,True,2022-07-31
FOSCHINI (SOUTH AFRICA),OK,23093041.36979733,7.505041296182148,84,23093041.36979733,23093041.36979733,4618608.273959466,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,23093041.36979733,19.0,True,2022-07-31
GLENCORE (SOUTH AFRICA),OK,21226739.862975772,5.200624517862614,84,21226739.862975772,21226739.862975772,4245347.972595154,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,21226739.862975772,20.0,True,2022-07-31
BID CORP (SOUTH AFRICA),OK,19504158.853192993,18.87394852525939,84,19504158.853192993,19504158.853192993,3900831.7706385986,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,19504158.853192993,21.0,True,2022-07-31
