Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1107114235.9851851,595.37,90,0.7333333333333333,2058683496.6666667,22.0,2023-05-31,SOUTH AFRICA,HIGH,1107114235.9851851,4.830225075103323,1.0,True,2023-05-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),475050669.9295704,482.9,90,0.7333333333333333,883358683.7533334,22.0,2023-05-31,SOUTH AFRICA,HIGH,475050669.9295704,2.0725970123548736,2.0,True,2023-05-31
PROSUS (SOUTH AFRICA),441129022.86069626,595.02,90,0.7333333333333333,820281240.8566667,22.0,2023-05-31,SOUTH AFRICA,HIGH,441129022.86069626,1.924600369429334,3.0,True,2023-05-31
GOLD FIELDS (SOUTH AFRICA),424128287.5703703,301.5,90,0.7333333333333333,788668303.3333334,22.0,2023-05-31,SOUTH AFRICA,HIGH,424128287.5703703,1.8504279170974816,4.0,True,2023-05-31
GRINDROD (SOUTH AFRICA),407769329.9288888,903.0,90,0.7333333333333333,758248754.0,22.0,2023-05-31,SOUTH AFRICA,HIGH,407769329.9288888,1.7790554743683697,5.0,True,2023-05-31
FIRSTRAND (SOUTH AFRICA),371194301.05185175,60.27,90,0.7333333333333333,690237336.6666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,371194301.05185175,1.6194824006400894,6.0,True,2023-05-31
ZENITH BANK NIGERIA (NIGERIA),367807067.8018333,29.0,90,0.7,750626668.9833333,21.0,2023-05-31,NIGERIA,MID,367807067.8018333,5.0,7.0,True,2023-05-31
ANGLO AMERICAN (SOUTH AFRICA),364197050.2752592,549.09,90,0.7333333333333333,677225919.9333333,22.0,2023-05-31,SOUTH AFRICA,HIGH,364197050.2752592,1.5889541181383227,8.0,True,2023-05-31
CAPITEC BANK (SOUTH AFRICA),318417373.6931406,1350.0,90,0.7333333333333333,592098422.1566665,22.0,2023-05-31,SOUTH AFRICA,HIGH,318417373.6931406,1.3892221170767551,9.0,True,2023-05-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),315796399.3133833,28.7,90,0.7,644482447.5783333,21.0,2023-05-31,NIGERIA,MID,315796399.3133833,5.0,10.0,True,2023-05-31
MTN GROUP (SOUTH AFRICA),290704310.51851845,121.97,90,0.7333333333333333,540565866.6666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,290704310.51851845,1.2683128844943878,11.0,True,2023-05-31
STANDARD BANK GROUP (SOUTH AFRICA),283071576.7407407,151.54,90,0.7333333333333333,526372766.6666667,22.0,2023-05-31,SOUTH AFRICA,HIGH,283071576.7407407,1.235012055287542,12.0,True,2023-05-31
GEREGU POWER NIGERIA (NIGERIA),268341659.09039992,309.0,90,0.7,547636038.9599999,21.0,2023-05-31,NIGERIA,MID,268341659.09039992,5.0,13.0,True,2023-05-31
SIBANYE STILLWATER (SOUTH AFRICA),263974894.25185183,35.01,90,0.7333333333333333,490862406.6666667,22.0,2023-05-31,SOUTH AFRICA,HIGH,263974894.25185183,1.1516952017859383,14.0,True,2023-05-31
ABSA (SOUTH AFRICA),261327168.66666663,153.83,90,0.7333333333333333,485938950.0,22.0,2023-05-31,SOUTH AFRICA,HIGH,261327168.66666663,1.140143448499907,15.0,True,2023-05-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),250067604.19259253,158.38,90,0.7333333333333333,465001743.3333333,22.0,2023-05-31,SOUTH AFRICA,HIGH,250067604.19259253,1.0910191315236928,16.0,True,2023-05-31
BHP (SOUTH AFRICA),222251488.051674,540.92,90,0.7333333333333333,413277560.4266666,22.0,2023-05-31,SOUTH AFRICA,HIGH,222251488.051674,0.9696602894921025,17.0,True,2023-05-31
MTN NIGERIA (NIGERIA),220405390.8653333,251.0,90,0.7,449806920.1333333,21.0,2023-05-31,NIGERIA,MID,220405390.8653333,5.0,18.0,True,2023-05-31
PPC (SOUTH AFRICA),212645080.24629626,207.0,90,0.7333333333333333,395414405.4166667,22.0,2023-05-31,SOUTH AFRICA,HIGH,212645080.24629626,0.9277485243327347,19.0,True,2023-05-31
BID CORP (SOUTH AFRICA),201523733.1346963,420.01,90,0.7333333333333333,374734214.5066667,22.0,2023-05-31,SOUTH AFRICA,HIGH,201523733.1346963,0.8792272354346875,20.0,True,2023-05-31
GLENCORE (SOUTH AFRICA),196340007.60651848,99.52,90,0.7333333333333333,365095055.46666664,22.0,2023-05-31,SOUTH AFRICA,HIGH,196340007.60651848,0.8566111763011178,21.0,True,2023-05-31
SHOPRITE HOLDINGS (SOUTH AFRICA),195588019.6639111,195.2,90,0.7333333333333333,363696730.78000003,22.0,2023-05-31,SOUTH AFRICA,HIGH,195588019.6639111,0.8533303305685858,22.0,True,2023-05-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),179121279.39020738,630.21,90,0.7333333333333333,333076759.19666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,179121279.39020738,0.7814876433462693,23.0,True,2023-05-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),167807790.46140665,9.9,90,0.7,342464878.49266666,21.0,2023-05-31,NIGERIA,MID,167807790.46140665,5.0,24.0,True,2023-05-31
FIRST HOLDCO NIGERIA (NIGERIA),150080072.64949998,14.4,90,0.7,306285862.55,21.0,2023-05-31,NIGERIA,MID,150080072.64949998,5.0,25.0,True,2023-05-31
BLUE LABEL TELECOMS (SOUTH AFRICA),149200685.1133333,362.0,90,0.7333333333333333,277439290.5,22.0,2023-05-31,SOUTH AFRICA,HIGH,149200685.1133333,0.6509471805461107,26.0,True,2023-05-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),144851607.837037,93.61,90,0.7333333333333333,269352163.3333333,22.0,2023-05-31,SOUTH AFRICA,HIGH,144851607.837037,0.6319726055377466,27.0,True,2023-05-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),140947725.4574074,162.32,90,0.7333333333333333,262092877.91666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,140947725.4574074,0.614940369886327,28.0,True,2023-05-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),137145641.27407405,59.5,90,0.7333333333333333,255022886.66666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,137145641.27407405,0.598352269252206,29.0,True,2023-05-31
SANLAM (SOUTH AFRICA),121819451.43703702,51.9,90,0.7333333333333333,226523773.33333334,22.0,2023-05-31,SOUTH AFRICA,HIGH,121819451.43703702,0.5314856857954644,30.0,True,2023-05-31
BIDVEST (SOUTH AFRICA),117453062.55988145,237.82,90,0.7333333333333333,218404455.17333332,22.0,2023-05-31,SOUTH AFRICA,HIGH,117453062.55988145,0.5124355820603957,31.0,True,2023-05-31
VODACOM (SOUTH AFRICA),111517306.04715553,110.37,90,0.7333333333333333,207366891.41,22.0,2023-05-31,SOUTH AFRICA,HIGH,111517306.04715553,0.4865384894067518,32.0,True,2023-05-31
CLICKS (SOUTH AFRICA),99132904.7252296,234.5,90,0.7333333333333333,184338045.97666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,99132904.7252296,0.43250662543015145,33.0,True,2023-05-31
DISCOVERY HOLDINGS (SOUTH AFRICA),99011198.14438517,132.43,90,0.7333333333333333,184111732.08666667,22.0,2023-05-31,SOUTH AFRICA,HIGH,99011198.14438517,0.4319756321870949,34.0,True,2023-05-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),96643024.21862853,52.3,90,0.6333333333333333,240938287.5256667,19.0,2023-05-31,EGYPT,MID,96643024.21862853,4.843727518048865,35.0,True,2023-05-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),95935952.19527406,171.54,90,0.7333333333333333,178393299.53666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,95935952.19527406,0.41855865170514106,36.0,True,2023-05-31
KUMBA IRON ORE (SOUTH AFRICA),90269209.81988145,433.55,90,0.7333333333333333,167855968.67333332,22.0,2023-05-31,SOUTH AFRICA,HIGH,90269209.81988145,0.3938352399504229,37.0,True,2023-05-31
MR PRICE (SOUTH AFRICA),89761114.41407405,124.07,90,0.7333333333333333,166911163.16666666,22.0,2023-05-31,SOUTH AFRICA,HIGH,89761114.41407405,0.3916184721681066,38.0,True,2023-05-31
AIRTEL AFRICA NIGERIA (NIGERIA),86904048.91466665,1175.0,90,0.7,177355201.86666667,21.0,2023-05-31,NIGERIA,MID,86904048.91466665,4.355612177507756,39.0,True,2023-05-31
